Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,offa,santiago,naples,paris,sacramento,hamilton,marseille,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,auckland,minneapolis,baltimore,prevalence
Friedmanniella luteola,0.09355828220858896,0.669833729216152,0.05128205128205128,0.5722222222222222,0.6013513513513513,0.16216216216216217,0.3125,0.5,0.19696969696969696,0.3,0.7115384615384616,,0.7906976744186046,0.43243243243243246,0.8611111111111112,,0.8235294117647058,0.625,1.0,1.0,,0.9375,0.6875,1.0,0.7857142857142857,0.35714285714285715,0.35714285714285715,0.42857142857142855,,0.7692307692307693,0.9166666666666666,0.625
Blastococcus saxobsidens,0.4570552147239264,0.5985748218527316,0.6358974358974359,0.6222222222222222,0.6216216216216216,0.2882882882882883,0.2916666666666667,0.6216216216216216,0.7424242424242424,0.36666666666666664,0.6923076923076923,,0.5116279069767442,0.4594594594594595,0.5,,0.9411764705882353,0.8125,1.0,1.0,,0.875,0.5625,0.4666666666666667,0.7857142857142857,0.42857142857142855,0.9285714285714286,0.8571428571428571,,0.8461538461538461,0.9166666666666666,0.6222222222222222
Paracoccus sanguinis,0.7822085889570553,0.5938242280285035,0.6871794871794872,0.8,0.25,0.32432432432432434,0.2604166666666667,0.7702702702702703,0.5303030303030303,0.3333333333333333,0.5384615384615384,,0.023255813953488372,0.21621621621621623,0.7777777777777778,,0.5882352941176471,1.0,1.0,0.5625,,1.0,0.875,0.8666666666666667,0.8571428571428571,0.21428571428571427,1.0,0.8571428571428571,,0.23076923076923078,0.25,0.5938242280285035
Corynebacterium ureicelerivorans,0.3067484662576687,0.5985748218527316,0.26666666666666666,0.5722222222222222,0.722972972972973,0.5675675675675675,0.25,0.5540540540540541,0.5151515151515151,0.21666666666666667,0.4423076923076923,0.0196078431372549,0.7209302325581395,0.8918918918918919,0.6944444444444444,,0.058823529411764705,0.75,0.75,0.1875,,1.0,0.9375,0.8666666666666667,0.8571428571428571,0.21428571428571427,0.7142857142857143,0.07142857142857142,,0.6923076923076923,1.0,0.5853985220374769
Marmoricola scoriae,0.25153374233128833,0.6484560570071259,0.4358974358974359,0.5277777777777778,0.5067567567567568,0.23423423423423423,0.020833333333333332,0.581081081081081,0.12121212121212122,0.11666666666666667,0.6923076923076923,,0.8604651162790697,0.2702702702702703,0.8333333333333334,,0.7647058823529411,0.625,1.0,1.0,,0.75,0.5625,0.6666666666666666,0.7857142857142857,0.21428571428571427,0.7857142857142857,0.5714285714285714,,0.7692307692307693,0.5,0.581081081081081
Nocardioides sp. HDW12B,0.10122699386503067,0.5605700712589073,0.558974358974359,0.3611111111111111,0.28378378378378377,0.16216216216216217,0.010416666666666666,0.3918918918918919,0.2878787878787879,0.11666666666666667,0.5576923076923077,,0.6511627906976745,0.21621621621621623,0.7222222222222222,,0.8235294117647058,0.5625,1.0,1.0,,0.375,0.4375,0.6,0.7857142857142857,0.21428571428571427,0.6428571428571429,0.6428571428571429,,0.7692307692307693,0.16666666666666666,0.5576923076923077
Acinetobacter johnsonii,0.11349693251533742,0.5890736342042755,0.20512820512820512,0.3888888888888889,0.5540540540540541,0.954954954954955,0.9375,0.2702702702702703,0.803030303030303,0.18333333333333332,0.23076923076923078,0.27450980392156865,0.5581395348837209,0.6756756756756757,0.9722222222222222,0.17647058823529413,1.0,1.0,0.875,0.0625,0.1875,1.0,0.875,0.8,0.8571428571428571,0.07142857142857142,,0.21428571428571427,0.15384615384615385,,0.4166666666666667,0.5540540540540541
Rothia mucilaginosa,0.23773006134969324,0.5201900237529691,0.2,0.55,0.7094594594594594,0.6666666666666666,0.3020833333333333,0.5945945945945946,0.45454545454545453,0.15,0.46153846153846156,0.0196078431372549,0.7441860465116279,0.6486486486486487,0.7222222222222222,,0.4117647058823529,0.75,0.75,0.125,,0.9375,0.875,0.8,0.8571428571428571,0.35714285714285715,0.42857142857142855,0.14285714285714285,0.07692307692307693,0.6153846153846154,0.8333333333333334,0.55
Corynebacterium segmentosum,0.6549079754601227,0.5296912114014252,0.3282051282051282,0.5444444444444444,0.7027027027027027,0.6936936936936937,0.3541666666666667,0.581081081081081,0.3939393939393939,0.2833333333333333,0.3269230769230769,,0.627906976744186,0.32432432432432434,0.7222222222222222,,0.47058823529411764,0.625,0.625,0.125,,0.875,0.875,0.8666666666666667,1.0,0.14285714285714285,0.5,0.21428571428571427,,0.38461538461538464,0.8333333333333334,0.5444444444444444
Streptococcus mitis,0.19785276073619631,0.47980997624703087,0.11794871794871795,0.35,0.2702702702702703,0.8198198198198198,0.7083333333333334,0.3783783783783784,0.5454545454545454,0.06666666666666667,0.25,0.0196078431372549,0.6046511627906976,0.5675675675675675,0.8611111111111112,,0.5294117647058824,0.6875,0.5625,0.125,,0.9375,0.75,0.6666666666666666,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.14285714285714285,,,0.5833333333333334,0.5294117647058824
