Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,santiago,offa,hamilton,marseille,paris,naples,sacramento,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,minneapolis,auckland,baltimore
Acinetobacter sp. NCu2D-2,,,0.010256410256410256,0.005555555555555556,0.11486486486486487,0.018018018018018018,0.03125,,,,,0.1568627450980392,,0.02702702702702703,,0.058823529411764705,0.11764705882352941,0.0625,,,,,,,,,,,,0.07692307692307693,
Acinetobacter sp. NEB149,,0.05938242280285035,0.02564102564102564,0.06111111111111111,0.2905405405405405,0.23423423423423423,0.20833333333333334,0.04054054054054054,0.4696969696969697,0.016666666666666666,0.07692307692307693,0.5294117647058824,0.023255813953488372,0.5405405405405406,0.1388888888888889,0.5294117647058824,0.29411764705882354,0.125,,,,0.3125,0.25,0.06666666666666667,,,,,,0.07692307692307693,
Acinetobacter sp. SWBY1,0.007668711656441718,,0.035897435897435895,0.011111111111111112,0.05405405405405406,,,,0.030303030303030304,,,0.0392156862745098,,0.02702702702702703,,0.058823529411764705,,,,,,,,,,,,,,0.07692307692307693,
Acinetobacter sp. TGL-Y2,,0.0023752969121140144,0.010256410256410256,0.005555555555555556,0.060810810810810814,,0.041666666666666664,,,,,0.0392156862745098,,,,0.058823529411764705,0.058823529411764705,0.1875,,,,,,,,,,,,0.07692307692307693,
Acinetobacter sp. TTH0-4,,0.004750593824228029,0.015384615384615385,0.005555555555555556,0.11486486486486487,0.06306306306306306,0.0625,,,0.016666666666666666,,0.058823529411764705,,0.02702702702702703,0.027777777777777776,0.4117647058823529,0.11764705882352941,0.1875,,,,,,,,,,,,0.15384615384615385,
Acinetobacter sp. WCHA45,0.04141104294478527,0.004750593824228029,0.08717948717948718,0.016666666666666666,0.02702702702702703,0.06306306306306306,0.6875,0.013513513513513514,0.13636363636363635,0.016666666666666666,0.038461538461538464,0.0196078431372549,,0.05405405405405406,0.1111111111111111,,,0.0625,0.1875,,,,0.125,,,,,0.14285714285714285,,,
Acinetobacter sp. WCHA55,0.01687116564417178,0.035629453681710214,0.05641025641025641,0.016666666666666666,0.05405405405405406,0.15315315315315314,0.46875,,0.10606060606060606,,,0.058823529411764705,,0.02702702702702703,0.16666666666666666,0.23529411764705882,,0.0625,0.125,,0.0625,,0.125,0.06666666666666667,,,,,,,
Acinetobacter sp. WCHAc010034,,0.0023752969121140144,0.020512820512820513,0.005555555555555556,0.10135135135135136,0.018018018018018018,0.4166666666666667,,,,,0.0784313725490196,,0.05405405405405406,,0.058823529411764705,0.11764705882352941,0.0625,,,,,,,,,,,,0.07692307692307693,
Acinetobacter sp. WCHAc010052,,,0.010256410256410256,,0.006756756756756757,,0.13541666666666666,,,,,0.0392156862745098,,,,,,0.0625,,,,,,,,,,,,,
Acinetobacter sp. dk386,,,0.010256410256410256,0.005555555555555556,0.10810810810810811,0.009009009009009009,,,,,,0.058823529411764705,,,,0.058823529411764705,0.058823529411764705,0.1875,,,,,,,,,,,,0.07692307692307693,
